Title,Description
[DB][XP] Criar tabela region com multiplicadores de clima,"Criar a tabela de regioes que sera usada como base para ajustar cooldowns de cuidado das plantas. Checklist: 0) Adicionar a tabela region em src/core/database/schema.ts com campos: id, name, watering_cooldown_multiplier (REAL, default 1.0), created_at. 1) Popular a migration correspondente em src/core/database/migrations.ts com um seed inicial de 3-4 regioes genericas (ex: temperado, tropical_umido, semiarido) com multiplicadores definidos em conjunto com a regra de negocio (ver Issue de regionRules.ts). 2) Adicionar os tipos correspondentes (Region) em src/core/database/types.ts. 3) Nao acoplar a tabela region a nenhuma feature especifica - ela e infraestrutura global (core), conforme a regra de dependencia do Architecture.md (core nao depende de features). 4) Escrever query basica de leitura (getAllRegions, getRegionById) - pode viver em src/core/database/database.ts ou em um repository proprio conforme padrao ja usado no projeto. Criterio de pronto: a tabela region existe apos rodar as migrations em um banco limpo, contem os registros seed, e e possivel ler os registros via query de teste."
[DB][XP] Criar tabelas species e family com hierarquia de fallback,"Criar a base de classificacao taxonomica que vai alimentar as regras de cooldown e curva de nivel por especie/familia. Checklist: 0) Adicionar tabela family em schema.ts: id, name, default_watering_cooldown_days, default_level_curve (TEXT: 'slow' | 'medium' | 'fast'). 1) Adicionar tabela species em schema.ts: id, family_id (FK), name, watering_cooldown_days (nullable - se null, herda de family), level_curve (nullable - se null, herda de family). 2) Escrever migration com seed inicial cobrindo pelo menos 3 familias (ex: Cactaceae, Araceae, hortalicas genericas) e 1-2 especies de exemplo por familia. 3) Adicionar tipos Species e Family em types.ts. 4) Vincular plants.species_id como FK opcional em plants (planta pode nao ter especie catalogada no MVP - usar fallback generico quando null, conforme decidido no planejamento da Task 11). 5) Documentar em comentario no schema a regra de fallback: species > family > generico. Criterio de pronto: e possivel consultar o cooldown de rega efetivo de uma planta resolvendo a cadeia species -> family -> generico, com teste manual cobrindo os 3 casos (planta com species definida, planta so com family, planta sem nenhuma classificacao)."
"[DB][XP] Criar tabelas xp_log, plant_xp, user_xp e daily_care_xp","Criar o nucleo de persistencia do sistema de XP: historico auditavel, totais consolidados por planta e por usuario, e o acumulador diario usado no calculo de penalidade. Checklist: 0) Adicionar xp_log em schema.ts: id, plant_id, activity_type (TEXT), amount (INTEGER, pode ser negativo para penalidade), is_penalty (BOOLEAN), created_at. 1) Adicionar plant_xp em schema.ts: plant_id (PK/FK unico), species_id, total_xp (default 0), level (default 1). 2) Adicionar user_xp em schema.ts: id (singleton, CHECK id=1), total_xp (default 0), level (default 1). 3) Adicionar daily_care_xp em schema.ts: plant_id, activity_type, date (TEXT, dia civil - ver definicao de fuso no item 5), xp_earned_today (default 0). Chave unica composta (plant_id, activity_type, date). 4) Escrever as migrations correspondentes, incluindo criacao automatica do registro singleton em user_xp na primeira execucao. 5) Definir e documentar no schema.ts qual e a regra de 'dia civil' usada em daily_care_xp (meia-noite no fuso local do dispositivo, conforme decidido no planejamento). 6) Adicionar os tipos XpLog, PlantXp, UserXp, DailyCareXp em types.ts. Criterio de pronto: as 4 tabelas existem apos migration em banco limpo, o registro singleton de user_xp e criado automaticamente, e e possivel inserir/consultar um xp_log de teste refletindo corretamente em plant_xp, user_xp e daily_care_xp."
"[DB][Auth] Adicionar account_mode, guest_warning_ack_at e region_id a user_profile","Preparar a tabela de perfil do usuario para suportar os dois modos de conta (visitante/Google) e a regiao usada no calculo de XP. Checklist: 0) Criar (ou alterar, se ja existir) a tabela user_profile em schema.ts: id (singleton, CHECK id=1), name, region_id (FK para region, nullable ate o onboarding ser concluido), account_mode (TEXT: 'guest' | 'google', default 'guest'), google_account_id (nullable), guest_warning_ack_at (nullable), created_at. 1) Escrever migration cobrindo criacao da tabela (ou ALTER TABLE se ja existir uma versao anterior sem esses campos). 2) Adicionar tipos UserProfile e AccountMode em types.ts. 3) Garantir que region_id de plants (se implementado na issue de species/family) tenha fallback para user_profile.region_id quando nulo - documentar essa regra em comentario. 4) Nao implementar aqui a logica de autenticacao Google em si (fica em issue propria) - essa issue cobre apenas o schema. Criterio de pronto: a tabela user_profile existe com todos os campos, o registro singleton e criado com account_mode='guest' por padrao, e a query de leitura do perfil retorna os campos corretamente tipados."
[Core][XP] Implementar regras base de XP por acao (xpRules.ts),"Definir os valores fixos de XP concedidos por tipo de acao de cuidado, isolados em um arquivo de regras dedicado, conforme decidido no planejamento (arquivo separado para as regras, fora do repository). Checklist: 0) Criar src/features/garden-world/rules/xpRules.ts exportando um mapa activity_type -> valor base de XP (rega: 5, adubacao: 10, poda: 8, cadastro de planta: 15 - ajustar valores finais em conjunto com o time se necessario). 1) Exportar tambem o tipo XpActivityType (union de strings) a partir deste arquivo, para ser reaproveitado em outras regras e no repository. 2) Nao inserir aqui logica de cooldown, penalidade ou regiao - este arquivo cobre apenas o valor base por acao, as demais regras vivem em arquivos proprios (issues seguintes). 3) Adicionar teste unitario simples garantindo que todo XpActivityType tem um valor mapeado (evita esquecer de adicionar XP para uma acao nova no futuro). Criterio de pronto: xpRules.ts exporta os valores e o tipo, sem dependencia de nenhuma outra camada do projeto, e o teste unitario de cobertura de mapa passa."
[Core][XP] Implementar cooldown e curva de nivel por especie/familia (speciesRules.ts / familyRules.ts),"Implementar a resolucao hierarquica de regras de cuidado (species > family > generico) que alimenta o calculo de cooldown dinamico e a curva de nivel por classificacao da planta. Checklist: 0) Criar src/features/garden-world/rules/familyRules.ts com os valores padrao de cooldown e curva de nivel por familia (fonte de verdade quando a especie nao tem regra propria). 1) Criar src/features/garden-world/rules/speciesRules.ts com overrides especificos por especie, quando existirem. 2) Implementar funcao resolveCareRule(plantId | speciesId | familyId) que aplica a cadeia de fallback: especie -> familia -> regra generica default. Deixar claro no nome/assinatura que o retorno inclui watering_cooldown_days e level_curve. 3) A curva de nivel (level_curve: 'slow' | 'medium' | 'fast') deve mapear para uma formula de conversao xp->level distinta por curva - implementar as 3 formulas (ou coeficientes de uma formula parametrizada) nesta mesma issue ou em funcao auxiliar proxima. 4) Escrever testes cobrindo os 3 cenarios de fallback (planta com especie cadastrada, planta so com familia, planta sem nenhuma classificacao). Criterio de pronto: resolveCareRule retorna o cooldown e a curva corretos para os 3 cenarios de fallback testados, e a conversao xp->level respeita a curva resolvida."
[Core][XP] Implementar modificadores de regiao sobre o cooldown (regionRules.ts),"Aplicar o multiplicador de regiao/clima sobre o cooldown base resolvido por especie/familia, conforme decidido no planejamento. Checklist: 0) Criar src/features/garden-world/rules/regionRules.ts exportando a funcao applyRegionModifier(baseCooldownDays, regionId) que busca o multiplicador da tabela region (ver issue de DB correspondente) e retorna o cooldown ajustado. 1) Definir e documentar a regiao efetiva usada: region_id da planta se definido, senao region_id do user_profile, senao neutro (multiplicador 1.0) - implementar essa resolucao de fallback nesta funcao ou em uma funcao auxiliar exportada junto. 2) Garantir que a funcao nao quebra quando region_id e nulo em ambos os niveis (planta e usuario) - deve usar o default neutro sem lancar excecao. 3) Escrever testes cobrindo: regiao definida na planta, regiao herdada do usuario, e nenhuma regiao definida (default neutro). Criterio de pronto: applyRegionModifier retorna o cooldown final correto nos 3 cenarios testados, sem quebrar quando os dados de regiao estao ausentes."
[Feature][XP] Criar xp.repository.ts com concessao de XP e calculo de cooldown dinamico,"Implementar o repository central do sistema de XP, unica camada que executa SQL sobre as tabelas de XP, seguindo o padrao de repository ja usado em features/plants. Checklist: 0) Criar src/features/garden-world/repository/xp.repository.ts. 1) Implementar funcao getEffectiveCooldown(plantId, activityType) que combina resolveCareRule (species/family) com applyRegionModifier (regiao) para retornar o cooldown final em dias/horas para aquela planta e acao. 2) Implementar funcao awardXp(plantId, activityType) que: verifica o ultimo registro em xp_log para essa planta+acao, compara com o cooldown efetivo, e decide entre conceder XP normal ou sinalizar excesso (a penalidade em si e tratada na issue seguinte, mas o retorno desta funcao deve expor um discriminador tipo 'within_cooldown' | 'exceeded_cooldown'). 3) Ao conceder XP normal: inserir em xp_log, atualizar plant_xp.total_xp e user_xp.total_xp, atualizar/criar o registro do dia em daily_care_xp. 4) Recalcular e persistir plant_xp.level usando a curva de nivel resolvida para aquela planta (species/family). 5) Nao importar nem chamar diretamente nenhum repository de outra feature (ex: plant.repository.ts) - a orquestracao entre registrar atividade e conceder XP fica na camada de tela/hook (ver issue de integracao), respeitando a regra de baixo acoplamento entre features do Architecture.md. Criterio de pronto: awardXp concede XP corretamente respeitando o cooldown dinamico calculado, atualiza as 4 tabelas envolvidas de forma consistente, e o nivel da planta e recalculado conforme a curva correta."
[Feature][XP] Implementar penalidade por rega em excesso (planta e usuario),"Implementar a regra definida no planejamento: rega registrada antes do fim do cooldown gera aviso e penalidade de metade do XP de rega do dia, descontada tanto do XP da planta quanto do XP do usuario. Checklist: 0) Em xp.repository.ts (ou em um arquivo penalty.rules.ts dentro de garden-world/rules, se preferir isolar), implementar applyWateringExcessPenalty(plantId) que le daily_care_xp.xp_earned_today para (plantId, 'watering', hoje), calcula metade desse valor, e insere um xp_log com amount negativo e is_penalty=true. 1) O desconto deve refletir tanto em plant_xp.total_xp quanto em user_xp.total_xp (nao criar logica duplicada - reaproveitar a mesma rotina de atualizacao usada no ganho normal, mas com valor negativo). 2) Nunca deixar total_xp ficar negativo por causa da penalidade - aplicar clamp em 0 tanto em plant_xp quanto em user_xp. 3) A funcao deve retornar os dados necessarios para a UI exibir o aviso (quanto XP foi perdido, cooldown restante) - nao acoplar texto de UI aqui, apenas dados brutos. 4) Escrever testes cobrindo: rega dentro do cooldown (sem penalidade), rega excedente com XP do dia > 0 (penalidade aplicada corretamente), e rega excedente quando o XP do dia ja e 0 (nao deve gerar penalidade negativa alem do clamp). Criterio de pronto: regar uma planta antes do cooldown terminar reduz corretamente plant_xp.total_xp e user_xp.total_xp em metade do XP de rega ganho naquele dia, sem nunca resultar em totais negativos, com testes cobrindo os 3 cenarios."
[Shared][UI] Criar componente reutilizavel ConfirmDialog,"Criar um componente de confirmacao generico em shared/components, reaproveitavel em todos os pontos do app que exigem confirmacao antes de uma acao sensivel (modo visitante, rega excedente, troca de regiao, reset de progresso, etc), conforme decidido no planejamento. Checklist: 0) Criar src/shared/components/ConfirmDialog.tsx recebendo props: visible, title, message, confirmLabel, cancelLabel, onConfirm, onCancel, variant ('warning' | 'danger'). 1) Estilizar exclusivamente via StyleSheet do React Native, consumindo o tema global via useAppColorScheme, seguindo a mesma convencao dos componentes existentes (Button, Card, Input, EmptyState). 2) Reaproveitar o componente Button existente para as acoes de confirmar/cancelar, em vez de criar botoes novos. 3) Nao acessar repositorios, SQLite ou regras de negocio diretamente - o componente so recebe dados e callbacks via props, conforme restricao de shared/components no Architecture.md. 4) Exportar o componente em src/shared/components/index.ts junto aos demais. Criterio de pronto: ConfirmDialog renderiza corretamente nas variantes warning e danger, respeita o tema claro/escuro, e e usado com sucesso em pelo menos um fluxo real (ver issues seguintes)."
